time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
6.21417,6.86369,-0.344464,11.4866
6.22421,7.30452,-0.371099,11.2623
6.23425,7.82705,-0.365862,11.1737
6.24429,8.29587,-0.284609,11.1735
6.25433,8.59619,-0.110881,11.1628
6.26437,8.56701,-0.023493,11.0456
6.2744,8.29557,0.0429458,10.8364
6.28444,7.94691,0.135272,10.573
6.29448,7.68714,0.191984,10.2944
6.30452,7.40628,0.155323,10.1192
6.31456,6.93327,0.0673366,9.88277
6.3246,6.41059,-0.0282814,9.71816
6.33464,5.80756,-0.0998078,9.60803
6.34468,5.34623,0.0341172,9.56105
6.35472,5.09289,0.250941,9.50628
6.36476,4.85676,0.302416,9.29948
6.3748,4.50108,0.377085,9.04585
6.38483,4.01655,0.602737,8.85207
6.39487,3.50569,0.783648,8.77815
6.40491,3.02207,0.937924,8.7774
6.41495,2.55879,1.08741,8.77904
6.42499,2.12065,1.16058,8.81675
6.43503,1.81674,1.22747,8.88903
6.44507,1.68716,1.2345,9.02909
6.45511,1.60351,1.25396,9.1075
6.46515,1.54021,1.34823,9.12964
6.47519,1.46539,1.4205,9.11288
6.48522,1.32473,1.45731,9.06769
6.49526,1.15535,1.37367,9.09523
6.5053,0.879565,1.2782,9.20267
6.51534,0.545576,1.2375,9.25235
6.52538,0.376187,1.1531,9.38268
6.53542,0.250342,1.01559,9.46648
6.54546,0.217572,0.954533,9.41635
6.5555,0.142305,0.966355,9.38298
6.56554,-0.0451903,0.90635,9.3963
6.57558,-0.19378,0.77482,9.37086
6.58562,-0.27623,0.695362,9.38148
6.59565,-0.302117,0.664088,9.48368
6.60569,-0.282514,0.64299,9.55416
6.61573,-0.297328,0.691472,9.54459
6.62577,-0.234481,0.80355,9.56898
6.63581,-0.21443,0.888095,9.67402
6.64585,-0.20201,1.0081,9.62479
6.65589,-0.224156,1.03609,9.57227
6.66593,-0.249145,0.949146,9.58035
6.67597,-0.328154,0.841109,9.52738
6.68601,-0.410603,0.741451,9.45615
6.69604,-0.423622,0.777513,9.65502
6.70608,-0.402224,0.888394,9.71861
6.71612,-0.417188,0.822554,9.69572
6.72616,-0.457889,0.659599,9.7255
6.7362,-0.550813,0.537346,9.87693
6.74624,-0.635807,0.543032,10.1472
6.75628,-0.49874,0.711822,10.285
6.76632,-0.205302,0.952738,10.3014
6.77636,-0.0480334,1.12302,10.1669
6.7864,0.0197521,1.23361,10.0957
